Site,Hydracarina,Entomobryidae,Isotomidae,Paronellidae,Sminthuridae,Cecidomyiidae,Ceratopogonidae,Chaoboridae,Chironomidae,Culicidae,Phoridae,Baetidae,Thysanoptera,Araneaeae
long.early,0,0.7056903226,0,0,0.7056903226,0,0,0,2.82276129,6.351212903,0,0,0,0
short.early,0,0,0,0.7056903226,0.7056903226,0,0,0,0,9.879664516,0,0,0,0
intermediate.early,0,0,0,0,2.117070968,0,0,0,3.528451613,0,0.7056903226,0,0,0
long.earlymid,7.056903226,0,2.82276129,0,154.5461806,2.117070968,0,0,30.34468387,4.234141935,0,0,4.234141935,2.117070968
short.earlymid,5.645522581,0,0.7056903226,0,2.82276129,0,0,0,6.351212903,2.82276129,0,0,7.762593548,0
intermediate.earlymid,5.645522581,0,0,0,14.11380645,0,0,0,16.23087742,0,0,0,16.93656774,0
long.mid,0,0,8.468283871,0,175.7168903,1.411380645,2.117070968,0,1.411380645,2.117070968,0,0,4.234141935,0
short.mid,0.7056903226,0,0,0,35.99020645,0,0,4.234141935,5.645522581,0,0,0,1.411380645,0
intermediate.mid,7.762593548,0,0,0,41.63572903,2.117070968,0,0,7.056903226,0,2.82276129,0,8.468283871,0
long.latemid,11.29104516,0.7056903226,18.34794839,0,760.0284774,5.645522581,2.117070968,40.93003871,14.11380645,0.7056903226,0,0,3.528451613,2.117070968
short.latemid,21.8764,0,0.7056903226,0,215.9412387,0,0.7056903226,40.93003871,17.64225806,0,0,0.7056903226,1.411380645,0.7056903226
intermediate.latemid,31.05037419,0,24.69916129,0,48.69263226,0,0,1.411380645,8.468283871,0,0,0,4.234141935,1.411380645